uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
EOL-Earthworm-Patch-0	|	0	|	Clitellata	|	clade	|		|	
EOL-Earthworm-Patch-1	|	EOL-Earthworm-Patch-0	|	Crassiclitellata	|	order	|		|	
EOL-Earthworm-Patch-2	|	EOL-Earthworm-Patch-1	|	Acanthodrilidae	|	family	|		|	
EOL-Earthworm-Patch-3	|	EOL-Earthworm-Patch-2	|	Acanthodrilinae	|	subfamily	|		|	
EOL-Earthworm-Patch-4	|	EOL-Earthworm-Patch-3	|	Acanthodrilus	|	genus	|		|	
EOL-Earthworm-Patch-5	|	EOL-Earthworm-Patch-4	|	Acanthodrilus affinis	|	species	|		|	
EOL-Earthworm-Patch-6	|	EOL-Earthworm-Patch-4	|	Acanthodrilus annectens	|	species	|		|	
EOL-Earthworm-Patch-7	|	EOL-Earthworm-Patch-4	|	Acanthodrilus beddardi	|	species	|		|	
EOL-Earthworm-Patch-8	|	EOL-Earthworm-Patch-4	|	Acanthodrilus canalanus	|	species	|		|	
EOL-Earthworm-Patch-9	|	EOL-Earthworm-Patch-4	|	Acanthodrilus capensis	|	species	|		|	
EOL-Earthworm-Patch-10	|	EOL-Earthworm-Patch-4	|	Acanthodrilus cavaticus	|	species	|		|	
EOL-Earthworm-Patch-11	|	EOL-Earthworm-Patch-4	|	Acanthodrilus chabaudi	|	species	|		|	
EOL-Earthworm-Patch-12	|	EOL-Earthworm-Patch-4	|	Acanthodrilus chevalieri	|	species	|		|	
EOL-Earthworm-Patch-13	|	EOL-Earthworm-Patch-4	|	Acanthodrilus coneensis	|	species	|		|	
EOL-Earthworm-Patch-14	|	EOL-Earthworm-Patch-4	|	Acanthodrilus fabresi	|	species	|		|	
EOL-Earthworm-Patch-15	|	EOL-Earthworm-Patch-4	|	Acanthodrilus foanus	|	species	|		|	
EOL-Earthworm-Patch-16	|	EOL-Earthworm-Patch-4	|	Acanthodrilus georgianus	|	species	|		|	
EOL-Earthworm-Patch-17	|	EOL-Earthworm-Patch-4	|	Acanthodrilus haplocystis	|	species	|		|	
EOL-Earthworm-Patch-18	|	EOL-Earthworm-Patch-4	|	Acanthodrilus humboldti	|	species	|		|	
EOL-Earthworm-Patch-19	|	EOL-Earthworm-Patch-4	|	Acanthodrilus ignambii	|	species	|		|	
EOL-Earthworm-Patch-20	|	EOL-Earthworm-Patch-4	|	Acanthodrilus kermadecensis	|	species	|		|	
EOL-Earthworm-Patch-21	|	EOL-Earthworm-Patch-4	|	Acanthodrilus koghis	|	species	|		|	
EOL-Earthworm-Patch-22	|	EOL-Earthworm-Patch-4	|	Acanthodrilus lacuum	|	species	|		|	
EOL-Earthworm-Patch-23	|	EOL-Earthworm-Patch-4	|	Acanthodrilus layardi	|	species	|		|	
EOL-Earthworm-Patch-24	|	EOL-Earthworm-Patch-4	|	Acanthodrilus longicystis	|	species	|		|	
EOL-Earthworm-Patch-25	|	EOL-Earthworm-Patch-4	|	Acanthodrilus macleayi	|	species	|		|	
EOL-Earthworm-Patch-26	|	EOL-Earthworm-Patch-4	|	Acanthodrilus maquariensis	|	species	|		|	
EOL-Earthworm-Patch-27	|	EOL-Earthworm-Patch-4	|	Acanthodrilus natalicius	|	species	|		|	
EOL-Earthworm-Patch-28	|	EOL-Earthworm-Patch-4	|	Acanthodrilus obtusus	|	species	|		|	
