taxonID	source	parentNameUsageID	scientificName	higherClassification	taxonRank
ICTV:20164769	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164769	ICTV:Orthoferavirus	Ferak orthoferavirus	Viruses|Bunyavirales|Feraviridae|Orthoferavirus	species
ICTV:20164770	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164770	ICTV:Emaravirus	Actinidia chlorotic ringspot-associated emaravirus	Viruses|Bunyavirales|Fimoviridae|Emaravirus	species
ICTV:20164483	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164483	ICTV:Emaravirus	European mountain ash ringspot-associated emaravirus	Viruses|Bunyavirales|Fimoviridae|Emaravirus	species
ICTV:20164484	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164484	ICTV:Emaravirus	Fig mosaic emaravirus	Viruses|Bunyavirales|Fimoviridae|Emaravirus	species
ICTV:20164485	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164485	ICTV:Emaravirus	High Plains wheat mosaic emaravirus	Viruses|Bunyavirales|Fimoviridae|Emaravirus	species
ICTV:20164486	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164486	ICTV:Emaravirus	Pigeonpea sterility mosaic emaravirus 1	Viruses|Bunyavirales|Fimoviridae|Emaravirus	species
ICTV:20164771	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164771	ICTV:Emaravirus	Pigeonpea sterility mosaic emaravirus 2	Viruses|Bunyavirales|Fimoviridae|Emaravirus	species
ICTV:20164487	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164487	ICTV:Emaravirus	Raspberry leaf blotch emaravirus	Viruses|Bunyavirales|Fimoviridae|Emaravirus	species
ICTV:20164772	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164772	ICTV:Emaravirus	Redbud yellow ringspot-associated emaravirus	Viruses|Bunyavirales|Fimoviridae|Emaravirus	species
ICTV:20164488	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164488	ICTV:Emaravirus	Rose rosette emaravirus	Viruses|Bunyavirales|Fimoviridae|Emaravirus	species
ICTV:20164773	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164773	ICTV:Orthohantavirus	Amga orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20162090	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20162090	ICTV:Orthohantavirus	Andes orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20164774	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164774	ICTV:Orthohantavirus	Asama orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20164775	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164775	ICTV:Orthohantavirus	Asikkala orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20162091	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20162091	ICTV:Orthohantavirus	Bayou orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20162092	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20162092	ICTV:Orthohantavirus	Black Creek Canal orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20164776	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164776	ICTV:Orthohantavirus	Bowe orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20164777	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164777	ICTV:Orthohantavirus	Bruges orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20162093	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20162093	ICTV:Orthohantavirus	Cano Delgadito orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20164778	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164778	ICTV:Orthohantavirus	Cao Bang orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20164779	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164779	ICTV:Orthohantavirus	Choclo orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20164780	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164780	ICTV:Orthohantavirus	Dabieshan orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20162094	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20162094	ICTV:Orthohantavirus	Dobrava-Belgrade orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
ICTV:20162095	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20162095	ICTV:Orthohantavirus	El Moro Canyon orthohantavirus	Viruses|Bunyavirales|Hantaviridae|Orthohantavirus	species
