scientificName
Neornithes
Paleognathae
Neognathae
Neoaves
Struthioniformes
Struthionidae
Struthio Linnaeus, 1758
Struthio camelus Linnaeus, 1758
Struthio camelus syriacus Rothschild, 1919
Struthio camelus camelus Linnaeus, 1758
Struthio camelus massaicus Neumann, 1898
Struthio camelus australis Gurney, 1868
Struthio molybdophanes Reichenow, 1883
Rheiformes
Rheidae
Rhea Brisson, 1760
Rhea americana (Linnaeus, 1758)
Rhea americana americana (Linnaeus, 1758)
Rhea americana intermedia Rothschild & Chubb, C, 1914
Rhea americana nobilis Brodkorb, 1939
Rhea americana araneipes Brodkorb, 1938
Rhea americana albescens Lynch & Holmberg, 1878
Rhea pennata d'Orbigny, 1834
Rhea pennata garleppi (Chubb, C, 1913)
Rhea pennata tarapacensis (Chubb, C, 1913)
Rhea pennata pennata d'Orbigny, 1834
Apterygiformes
Apterygidae
Apteryx Shaw, 1813
Apteryx australis Shaw, 1813
Apteryx australis australis Shaw, 1813
Apteryx australis lawryi Rothschild, 1893
Apteryx mantelli Bartlett, 1852
Apteryx rowi Tennyson, Palma, Robertson, Worthy & Gill, BJ, 2003
Apteryx owenii Gould, 1847
Apteryx haastii Potts, 1872
Casuariiformes
Casuariidae
Casuarius Brisson, 1760
Casuarius casuarius (Linnaeus, 1758)
Casuarius bennetti Gould, 1857
Casuarius bennetti papuanus Schlegel, 1871
Casuarius bennetti bennetti Gould, 1857
Casuarius unappendiculatus Blyth, 1860
Dromaiidae
Dromaius Vieillot, 1816
Dromaius novaehollandiae (Latham, 1790)
Dromaius novaehollandiae novaehollandiae (Latham, 1790)
Dromaius novaehollandiae diemenensis Le Souef, 1907
Dromaius novaehollandiae minor Spencer, 1906
Dromaius novaehollandiae baudinianus Parker, SA, 1984
Tinamiformes
Tinamidae
Tinamus Hermann, 1783
Tinamus tao Temminck, 1815
Tinamus tao larensis Phelps & Phelps Jr, 1949
Tinamus tao septentrionalis Brabourne & Chubb, C, 1913
Tinamus tao tao Temminck, 1815
Tinamus tao kleei (Tschudi, 1843)
Tinamus solitarius (Vieillot, 1819)
Tinamus osgoodi Conover, 1949
Tinamus osgoodi hershkovitzi Blake, 1953
Tinamus osgoodi osgoodi Conover, 1949
Tinamus major (Gmelin, JF, 1789)
Tinamus major robustus Sclater, PL & Salvin, 1868
Tinamus major percautus van Tyne, 1935
Tinamus major fuscipennis Salvadori, 1895
Tinamus major brunneiventris Aldrich, 1937
Tinamus major castaneiceps Salvadori, 1895
Tinamus major saturatus Griscom, 1929
Tinamus major zuliensis Osgood & Conover, 1922
Tinamus major latifrons Salvadori, 1895
Tinamus major major (Gmelin, JF, 1789)
Tinamus major serratus (von Spix, 1825)
Tinamus major olivascens Conover, 1937
Tinamus major peruvianus Bonaparte, 1856
Tinamus guttatus Pelzeln, 1863
Nothocercus Bonaparte, 1856
Nothocercus bonapartei (Gray, GR, 1867)
Nothocercus bonapartei frantzii (Lawrence, 1868)
Nothocercus bonapartei bonapartei (Gray, GR, 1867)
Nothocercus bonapartei intercedens Salvadori, 1895
Nothocercus bonapartei discrepans Friedmann, 1947
Nothocercus bonapartei plumbeiceps Lönnberg & Rendahl, 1922
Nothocercus julius (Bonaparte, 1854)
Nothocercus nigrocapillus (Gray, GR, 1867)
Nothocercus nigrocapillus cadwaladeri Carriker, 1933
Nothocercus nigrocapillus nigrocapillus (Gray, GR, 1867)
Crypturellus Brabourne & Chubb, C, 1914
Crypturellus berlepschi (Rothschild, 1897)
Crypturellus cinereus (Gmelin, JF, 1789)
Crypturellus soui (Hermann, 1783)
Crypturellus soui meserythrus (Sclater, PL, 1860)
Crypturellus soui modestus (Cabanis, 1869)
Crypturellus soui capnodes Wetmore, 1963
Crypturellus soui poliocephalus (Aldrich, 1937)
Crypturellus soui panamensis (Carriker, 1910)
Crypturellus soui mustelinus (Bangs, 1905)
Crypturellus soui soui (Hermann, 1783)
Crypturellus soui andrei (Brabourne & Chubb, C, 1914)
Crypturellus soui caucae (Chapman, 1912)
Crypturellus soui harterti (Brabourne & Chubb, C, 1914)
Crypturellus soui caquetae (Chapman, 1915)
Crypturellus soui nigriceps (Chapman, 1923)
Crypturellus soui albigularis (Brabourne & Chubb, C, 1914)
Crypturellus soui inconspicuus Carriker, 1935
Crypturellus ptaritepui Zimmer, JT & Phelps, 1945
Crypturellus obsoletus (Temminck, 1815)
Crypturellus obsoletus cerviniventris (Sclater, PL & Salvin, 1873)
