uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
6168a5808fb28ee5581c52a1994b97ab	|		|	Neornithes	|	class	|		|	
2b4e5e944dabbf41930904d59ab8feb3	|	6168a5808fb28ee5581c52a1994b97ab	|	Paleognathae	|		|		|	
10ca4d419c32f2cbe2a4e800bc8c7af9	|	6168a5808fb28ee5581c52a1994b97ab	|	Neognathae	|		|		|	
e8fa6ef59a11bde5bf4c97003418c5b5	|	6168a5808fb28ee5581c52a1994b97ab	|	Neoaves	|		|		|	
eea14f4c044d251bf3ee9ee99417c91f	|	2b4e5e944dabbf41930904d59ab8feb3	|	Struthioniformes	|	order	|		|	
e86ef0e503d2961a3da298cea6da8021	|	eea14f4c044d251bf3ee9ee99417c91f	|	Struthionidae	|	family	|		|	
cc26d87dc5a15502a9d00af428f93101	|	e86ef0e503d2961a3da298cea6da8021	|	Struthio	|	genus	|		|	
ceab0b65522ca514b497c009eb60c834	|	cc26d87dc5a15502a9d00af428f93101	|	Struthio camelus	|	species	|		|	
8b0bb34c6485a0a791818a2b93cc7212	|	ceab0b65522ca514b497c009eb60c834	|	Struthio camelus syriacus	|	subspecies	|		|	
7288a29751c0ffc544c7fe2cf9dbac4b	|	ceab0b65522ca514b497c009eb60c834	|	Struthio camelus camelus	|	subspecies	|		|	
3a3dbb738053311b6dfff3ced501cb85	|	ceab0b65522ca514b497c009eb60c834	|	Struthio camelus massaicus	|	subspecies	|		|	
70cd71beb6615b4bcf2cc4d0004739ac	|	ceab0b65522ca514b497c009eb60c834	|	Struthio camelus australis	|	subspecies	|		|	
93bbbd945a0a1593d6e2f14da36cc295	|	cc26d87dc5a15502a9d00af428f93101	|	Struthio molybdophanes	|	species	|		|	
8f4edc6c906c9e683ec2b88188d79c6a	|	2b4e5e944dabbf41930904d59ab8feb3	|	Rheiformes	|	order	|		|	
7475f9964f75885186b497bcd4be3dbf	|	8f4edc6c906c9e683ec2b88188d79c6a	|	Rheidae	|	family	|		|	
ce6394f091384f97a1cd07de015d45e1	|	7475f9964f75885186b497bcd4be3dbf	|	Rhea	|	genus	|		|	
59a45f2fb4d91d3cecfaf8b1a1a60569	|	ce6394f091384f97a1cd07de015d45e1	|	Rhea americana	|	species	|		|	
bee6359fb2500199edc089cc6681b852	|	59a45f2fb4d91d3cecfaf8b1a1a60569	|	Rhea americana americana	|	subspecies	|		|	
63f71321f0a766a7ff95e1553ce63c01	|	59a45f2fb4d91d3cecfaf8b1a1a60569	|	Rhea americana intermedia	|	subspecies	|		|	
2fa3891e25f217bced0ebece0007e927	|	59a45f2fb4d91d3cecfaf8b1a1a60569	|	Rhea americana nobilis	|	subspecies	|		|	
d251be69110f79032a56fae928574ca0	|	59a45f2fb4d91d3cecfaf8b1a1a60569	|	Rhea americana araneipes	|	subspecies	|		|	
3bf4efd076fbc45e3011574955c2c16e	|	59a45f2fb4d91d3cecfaf8b1a1a60569	|	Rhea americana albescens	|	subspecies	|		|	
01aa4e6951a86f854f65ee90de05c4a4	|	ce6394f091384f97a1cd07de015d45e1	|	Rhea pennata	|	species	|		|	
8552ad8890355712d0ccac8aba8693a9	|	01aa4e6951a86f854f65ee90de05c4a4	|	Rhea pennata garleppi	|	subspecies	|		|	
3db2d45fe51f7e30197231ff182b510d	|	01aa4e6951a86f854f65ee90de05c4a4	|	Rhea pennata tarapacensis	|	subspecies	|		|	
d6906b4e63e9bb8d85d10b11071baa3d	|	01aa4e6951a86f854f65ee90de05c4a4	|	Rhea pennata pennata	|	subspecies	|		|	
9889dd975770291c939f725076e1c563	|	2b4e5e944dabbf41930904d59ab8feb3	|	Apterygiformes	|	order	|		|	
0eeebcd01b916ec2e4fb78ce9540b6d5	|	9889dd975770291c939f725076e1c563	|	Apterygidae	|	family	|		|	
bb94b1525b39a5ee7f3382eabaa09b0f	|	0eeebcd01b916ec2e4fb78ce9540b6d5	|	Apteryx	|	genus	|		|	
cac499226a6138a2b7672e85566ac435	|	bb94b1525b39a5ee7f3382eabaa09b0f	|	Apteryx australis	|	species	|		|	
b8a596309fe7717697bfbfa48be44dcb	|	cac499226a6138a2b7672e85566ac435	|	Apteryx australis australis	|	subspecies	|		|	
15e1f3cd7f1a56d19aa7d774b4cd1250	|	cac499226a6138a2b7672e85566ac435	|	Apteryx australis lawryi	|	subspecies	|		|	
6ac3e1a0bb80ffa1375e8826112397f0	|	bb94b1525b39a5ee7f3382eabaa09b0f	|	Apteryx mantelli	|	species	|		|	
be7e67ca42c18d4dff890a7968bc601c	|	bb94b1525b39a5ee7f3382eabaa09b0f	|	Apteryx rowi	|	species	|		|	
1ce4aefbcfaa2ebcf88d434ab64dd67d	|	bb94b1525b39a5ee7f3382eabaa09b0f	|	Apteryx owenii	|	species	|		|	
7a22a3e08b2fc91956315dd7fab97a0f	|	bb94b1525b39a5ee7f3382eabaa09b0f	|	Apteryx haastii	|	species	|		|	
0257e3f20d69ddb521bc16411d2baa07	|	2b4e5e944dabbf41930904d59ab8feb3	|	Casuariiformes	|	order	|		|	
d63d411d91bbff65ab752e7d99bc2e1c	|	0257e3f20d69ddb521bc16411d2baa07	|	Casuariidae	|	family	|		|	
20d5f08ee9e1251a50884ed72d65da71	|	d63d411d91bbff65ab752e7d99bc2e1c	|	Casuarius	|	genus	|		|	
6e715f2c26d8f0966ce6476173a81b2b	|	20d5f08ee9e1251a50884ed72d65da71	|	Casuarius casuarius	|	species	|		|	
a97db864c2ecf826028f5a599f6c698d	|	20d5f08ee9e1251a50884ed72d65da71	|	Casuarius bennetti	|	species	|		|	
98af78f4bb17f32d84cfcb59b7b61206	|	a97db864c2ecf826028f5a599f6c698d	|	Casuarius bennetti papuanus	|	subspecies	|		|	
78aacf5048654822af005e7566f1e94f	|	a97db864c2ecf826028f5a599f6c698d	|	Casuarius bennetti bennetti	|	subspecies	|		|	
3b14d806e79795a02438ca304eb72936	|	20d5f08ee9e1251a50884ed72d65da71	|	Casuarius unappendiculatus	|	species	|		|	
