index	taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	taxonRank	taxonomicStatus
Anthocerotophyta	Anthocerotophyta	Anthocerotophyta		Anthocerotophyta	phylum	accepted
Anthocerotopsida	Anthocerotopsida	Anthocerotopsida	Anthocerotophyta	Anthocerotopsida	class	accepted
Anthocerotidae	Anthocerotidae	Anthocerotidae	Anthocerotopsida	Anthocerotidae	subclass	accepted
Anthocerotales	Anthocerotales	Anthocerotales	Anthocerotidae	Anthocerotales	order	accepted
Anthocerotaceae	Anthocerotaceae	Anthocerotaceae	Anthocerotales	Anthocerotaceae	family	accepted
Anthoceros	Anthoceros	Anthoceros	Anthocerotaceae	Anthoceros	genus	accepted
Folioceros	Folioceros	Folioceros	Anthocerotaceae	Folioceros	genus	accepted
Dendrocerotidae	Dendrocerotidae	Dendrocerotidae	Anthocerotopsida	Dendrocerotidae	subclass	accepted
Dendrocerotales	Dendrocerotales	Dendrocerotales	Dendrocerotidae	Dendrocerotales	order	accepted
Dendrocerotaceae	Dendrocerotaceae	Dendrocerotaceae	Dendrocerotales	Dendrocerotaceae	family	accepted
Dendroceros	Dendroceros	Dendroceros	Dendrocerotaceae	Dendroceros	genus	accepted
Megaceros	Megaceros	Megaceros	Dendrocerotaceae	Megaceros	genus	accepted
Nothoceros	Nothoceros	Nothoceros	Dendrocerotaceae	Nothoceros	genus	accepted
Phaeomegaceros	Phaeomegaceros	Phaeomegaceros	Dendrocerotaceae	Phaeomegaceros	genus	not verified
Phymatocerotales	Phymatocerotales	Phymatocerotales	Dendrocerotidae	Phymatocerotales	order	accepted
Phymatocerotaceae	Phymatocerotaceae	Phymatocerotaceae	Phymatocerotales	Phymatocerotaceae	family	accepted
Phymatoceros	Phymatoceros	Phymatoceros	Phymatocerotaceae	Phymatoceros	genus	accepted
Notothylatidae	Notothylatidae	Notothylatidae	Anthocerotopsida	Notothylatidae	subclass	accepted
Notothyladales	Notothyladales	Notothyladales	Notothylatidae	Notothyladales	order	accepted
Notothyladaceae	Notothyladaceae	Notothyladaceae	Notothyladales	Notothyladaceae	family	accepted
Notothyladoideae	Notothyladoideae	Notothyladoideae	Notothyladaceae	Notothyladoideae	subfamily	not verified
Notothylas	Notothylas	Notothylas	Notothyladoideae	Notothylas	genus	accepted
Phaeocerotoideae	Phaeocerotoideae	Phaeocerotoideae	Notothyladaceae	Phaeocerotoideae	subfamily	not verified
Paraphymatoceros	Paraphymatoceros	Paraphymatoceros	Phaeocerotoideae	Paraphymatoceros	genus	not verified
Phaeoceros	Phaeoceros	Phaeoceros	Phaeocerotoideae	Phaeoceros	genus	accepted
Leiosporocerotopsida	Leiosporocerotopsida	Leiosporocerotopsida	Anthocerotophyta	Leiosporocerotopsida	class	accepted
Leiosporocerotales	Leiosporocerotales	Leiosporocerotales	Leiosporocerotopsida	Leiosporocerotales	order	accepted
Leiosporocerotaceae	Leiosporocerotaceae	Leiosporocerotaceae	Leiosporocerotales	Leiosporocerotaceae	family	accepted
Leiosporoceros	Leiosporoceros	Leiosporoceros	Leiosporocerotaceae	Leiosporoceros	genus	accepted
Marchantiophyta	Marchantiophyta	Marchantiophyta		Marchantiophyta	phylum	accepted
Haplomitriopsida	Haplomitriopsida	Haplomitriopsida	Marchantiophyta	Haplomitriopsida	class	accepted
Haplomitriidae	Haplomitriidae	Haplomitriidae	Haplomitriopsida	Haplomitriidae	subclass	accepted
Calobryales	Calobryales	Calobryales	Haplomitriidae	Calobryales	order	accepted
Haplomitriaceae	Haplomitriaceae	Haplomitriaceae	Calobryales	Haplomitriaceae	family	accepted
Haplomitrium	Haplomitrium	Haplomitrium	Haplomitriaceae	Haplomitrium	genus	accepted
Treubiidae	Treubiidae	Treubiidae	Haplomitriopsida	Treubiidae	subclass	accepted
Treubiales	Treubiales	Treubiales	Treubiidae	Treubiales	order	accepted
Treubiaceae	Treubiaceae	Treubiaceae	Treubiales	Treubiaceae	family	accepted
Apotreubia	Apotreubia	Apotreubia	Treubiaceae	Apotreubia	genus	accepted
Treubia	Treubia	Treubia	Treubiaceae	Treubia	genus	accepted
Jungermanniopsida	Jungermanniopsida	Jungermanniopsida	Marchantiophyta	Jungermanniopsida	class	accepted
Jungermanniidae	Jungermanniidae	Jungermanniidae	Jungermanniopsida	Jungermanniidae	subclass	accepted
Jungermanniales	Jungermanniales	Jungermanniales	Jungermanniidae	Jungermanniales	order	accepted
Cephaloziineae	Cephaloziineae	Cephaloziineae	Jungermanniales	Cephaloziineae	suborder	accepted
Adelanthaceae	Adelanthaceae	Adelanthaceae	Cephaloziineae	Adelanthaceae	family	accepted
Adelanthoideae	Adelanthoideae	Adelanthoideae	Adelanthaceae	Adelanthoideae	subfamily	accepted
Adelanthus	Adelanthus	Adelanthus	Adelanthoideae	Adelanthus	genus	accepted
Pseudomarsupidium	Pseudomarsupidium	Pseudomarsupidium	Adelanthoideae	Pseudomarsupidium	genus	accepted
Wettsteinia	Wettsteinia	Wettsteinia	Adelanthoideae	Wettsteinia	genus	accepted
Jamesonielloideae	Jamesonielloideae	Jamesonielloideae	Adelanthaceae	Jamesonielloideae	subfamily	not verified
Cuspidatula	Cuspidatula	Cuspidatula	Jamesonielloideae	Cuspidatula	genus	accepted
Denotarisia	Denotarisia	Denotarisia	Jamesonielloideae	Denotarisia	genus	not verified
Nothostrepta	Nothostrepta	Nothostrepta	Jamesonielloideae	Nothostrepta	genus	not verified
Pisanoa	Pisanoa	Pisanoa	Jamesonielloideae	Pisanoa	genus	not verified
Protosyzygiella	Protosyzygiella	Protosyzygiella	Jamesonielloideae	Inoue	genus	accepted
Syzygiella	Syzygiella	Syzygiella	Jamesonielloideae	Syzygiella	genus	accepted
Vanaea	Vanaea	Vanaea	Jamesonielloideae	Vanaea	genus	accepted
Anastrophyllaceae	Anastrophyllaceae	Anastrophyllaceae	Cephaloziineae	Anastrophyllaceae	family	accepted
Anastrepta	Anastrepta	Anastrepta	Anastrophyllaceae	Anastrepta	genus	accepted
Anastrophyllum	Anastrophyllum	Anastrophyllum	Anastrophyllaceae	Spruce	genus	accepted
Barbilophozia	Barbilophozia	Barbilophozia	Anastrophyllaceae	Barbilophozia	genus	accepted
