uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
R0001	|		|	Odonata	|	order	|		|	
F0001	|	R0001	|	Hemiphlebiidae	|	family	|		|	
G0001	|	F0001	|	Hemiphlebia	|	genus	|		|	
S0001-1	|	G0001	|	Hemiphlebia mirabilis	|	species	|		|	
F0002	|	R0001	|	Perilestidae	|	family	|		|	
G0002	|	F0002	|	Perilestes	|	genus	|		|	
S0002-1	|	G0002	|	Perilestes attenuatus	|	species	|		|	
S0002-2	|	G0002	|	Perilestes bispinus	|	species	|		|	
S0002-3	|	G0002	|	Perilestes eustaquioi	|	species	|		|	
S0002-4	|	G0002	|	Perilestes fragilis	|	species	|		|	
S0002-5	|	G0002	|	Perilestes gracillimus	|	species	|		|	
S0002-6	|	G0002	|	Perilestes kahli	|	species	|		|	
S0002-7	|	G0002	|	Perilestes minor	|	species	|		|	
S0002-8	|	G0002	|	Perilestes solutus	|	species	|		|	
G0003	|	F0002	|	Perissolestes	|	genus	|		|	
S0003-1	|	G0003	|	Perissolestes aculeatus	|	species	|		|	
S0003-2	|	G0003	|	Perissolestes castor	|	species	|		|	
S0003-3	|	G0003	|	Perissolestes cornutus	|	species	|		|	
S0003-4	|	G0003	|	Perissolestes flinti	|	species	|		|	
S0003-5	|	G0003	|	Perissolestes guianensis	|	species	|		|	
S0003-6	|	G0003	|	Perissolestes klugi	|	species	|		|	
S0003-7	|	G0003	|	Perissolestes magdalenae	|	species	|		|	
S0003-8	|	G0003	|	Perissolestes paprzyckii	|	species	|		|	
S0003-9	|	G0003	|	Perissolestes remotus	|	species	|		|	
S0003-10	|	G0003	|	Perissolestes remus	|	species	|		|	
S0003-11	|	G0003	|	Perissolestes romulus	|	species	|		|	
F0003	|	R0001	|	Synlestidae	|	family	|		|	
G0004	|	F0003	|	Chlorolestes	|	genus	|		|	
S0004-1	|	G0004	|	Chlorolestes apricans	|	species	|		|	
S0004-2	|	G0004	|	Chlorolestes conspicuus	|	species	|		|	
S0004-3	|	G0004	|	Chlorolestes draconicus	|	species	|		|	
S0004-4	|	G0004	|	Chlorolestes elegans	|	species	|		|	
S0004-5	|	G0004	|	Chlorolestes fasciatus	|	species	|		|	
S0004-6	|	G0004	|	Chlorolestes tessellatus	|	species	|		|	
S0004-7	|	G0004	|	Chlorolestes umbratus	|	species	|		|	
G0005	|	F0003	|	Chorismagrion	|	genus	|		|	
S0005-1	|	G0005	|	Chorismagrion risi	|	species	|		|	
G0006	|	F0003	|	Ecchlorolestes	|	genus	|		|	
S0006-1	|	G0006	|	Ecchlorolestes nylephtha	|	species	|		|	
S0006-2	|	G0006	|	Ecchlorolestes peringueyi	|	species	|		|	
G0007	|	F0003	|	Episynlestes	|	genus	|		|	
S0007-1	|	G0007	|	Episynlestes albicaudus	|	species	|		|	
S0007-2	|	G0007	|	Episynlestes cristatus	|	species	|		|	
S0007-3	|	G0007	|	Episynlestes intermedius	|	species	|		|	
G0008	|	F0003	|	Megalestes	|	genus	|		|	
S0008-1	|	G0008	|	Megalestes australis	|	species	|		|	
S0008-2	|	G0008	|	Megalestes chengi	|	species	|		|	
S0008-3	|	G0008	|	Megalestes discus	|	species	|		|	
S0008-4	|	G0008	|	Megalestes distans	|	species	|		|	
S0008-5	|	G0008	|	Megalestes gyalsey	|	species	|		|	
S0008-6	|	G0008	|	Megalestes haui	|	species	|		|	
S0008-7	|	G0008	|	Megalestes heros	|	species	|		|	
S0008-8	|	G0008	|	Megalestes irma	|	species	|		|	
S0008-9	|	G0008	|	Megalestes kurahashii	|	species	|		|	
S0008-10	|	G0008	|	Megalestes lieftincki	|	species	|		|	
S0008-11	|	G0008	|	Megalestes maai	|	species	|		|	
S0008-12	|	G0008	|	Megalestes major	|	species	|		|	
S0008-13	|	G0008	|	Megalestes micans	|	species	|		|	
S0008-14	|	G0008	|	Megalestes omeiensis	|	species	|		|	
S0008-15	|	G0008	|	Megalestes palaceus	|	species	|		|	
S0008-16	|	G0008	|	Megalestes raychoudhurii	|	species	|		|	
S0008-17	|	G0008	|	Megalestes riccii	|	species	|		|	
S0008-18	|	G0008	|	Megalestes tuska	|	species	|		|	
G0009	|	F0003	|	Nubiolestes	|	genus	|		|	
S0009-1	|	G0009	|	Nubiolestes diotima	|	species	|		|	
G0010	|	F0003	|	Phylolestes	|	genus	|		|	
S0010-1	|	G0010	|	Phylolestes ethelae	|	species	|		|	
G0011	|	F0003	|	Sinolestes	|	genus	|		|	
S0011-1	|	G0011	|	Sinolestes edita	|	species	|		|	
S0011-2	|	G0011	|	Sinolestes ornatus	|	species	|		|	
G0012	|	F0003	|	Synlestes	|	genus	|		|	
S0012-1	|	G0012	|	Synlestes selysi	|	species	|		|	
S0012-2	|	G0012	|	Synlestes tropicus	|	species	|		|	
S0012-3	|	G0012	|	Synlestes weyersii	|	species	|		|	
F0004	|	R0001	|	Lestidae	|	family	|		|	
G0013	|	F0004	|	Archilestes	|	genus	|		|	
S0013-1	|	G0013	|	Archilestes californicus	|	species	|		|	
S0013-2	|	G0013	|	Archilestes chocoanus	|	species	|		|	
S0013-3	|	G0013	|	Archilestes exoletus	|	species	|		|	
S0013-4	|	G0013	|	Archilestes grandis	|	species	|		|	
S0013-5	|	G0013	|	Archilestes guayaraca	|	species	|		|	
S0013-6	|	G0013	|	Archilestes latialatus	|	species	|		|	
S0013-7	|	G0013	|	Archilestes neblina	|	species	|		|	
S0013-8	|	G0013	|	Archilestes regalis	|	species	|		|	
S0013-9	|	G0013	|	Archilestes tuberalatus	|	species	|		|	
G0014	|	F0004	|	Austrolestes	|	genus	|		|	
S0014-1	|	G0014	|	Austrolestes aleison	|	species	|		|	
S0014-2	|	G0014	|	Austrolestes analis	|	species	|		|	
S0014-3	|	G0014	|	Austrolestes annulosus	|	species	|		|	
S0014-4	|	G0014	|	Austrolestes aridus	|	species	|		|	
S0014-5	|	G0014	|	Austrolestes cingulatus	|	species	|		|	
S0014-6	|	G0014	|	Austrolestes colensonis	|	species	|		|	
S0014-7	|	G0014	|	Austrolestes io	|	species	|		|	
S0014-8	|	G0014	|	Austrolestes leda	|	species	|		|	
S0014-9	|	G0014	|	Austrolestes minjerriba	|	species	|		|	
S0014-10	|	G0014	|	Austrolestes psyche	|	species	|		|	
G0015	|	F0004	|	Chalcolestes	|	genus	|		|	
S0015-1	|	G0015	|	Chalcolestes parvidens	|	species	|		|	
S0015-2	|	G0015	|	Chalcolestes viridis	|	species	|		|	
G0016	|	F0004	|	Indolestes	|	genus	|		|	
S0016-1	|	G0016	|	Indolestes albicaudus	|	species	|		|	
S0016-2	|	G0016	|	Indolestes alfurus	|	species	|		|	
S0016-3	|	G0016	|	Indolestes alleni	|	species	|		|	
S0016-4	|	G0016	|	Indolestes anomalus	|	species	|		|	
S0016-5	|	G0016	|	Indolestes aruanus	|	species	|		|	
S0016-6	|	G0016	|	Indolestes assamicus	|	species	|		|	
S0016-7	|	G0016	|	Indolestes bellax	|	species	|		|	
S0016-8	|	G0016	|	Indolestes bilineatus	|	species	|		|	
S0016-9	|	G0016	|	Indolestes birmanus	|	species	|		|	
S0016-10	|	G0016	|	Indolestes boninensis	|	species	|		|	
S0016-11	|	G0016	|	Indolestes cheesmanae	|	species	|		|	
S0016-12	|	G0016	|	Indolestes coeruleus	|	species	|		|	
S0016-13	|	G0016	|	Indolestes cyaneus	|	species	|		|	
S0016-14	|	G0016	|	Indolestes dajakanus	|	species	|		|	
S0016-15	|	G0016	|	Indolestes davenporti	|	species	|		|	
S0016-16	|	G0016	|	Indolestes divisus	|	species	|		|	
S0016-17	|	G0016	|	Indolestes extraneus	|	species	|		|	
S0016-18	|	G0016	|	Indolestes floresianus	|	species	|		|	
S0016-19	|	G0016	|	Indolestes goniocercus	|	species	|		|	
S0016-20	|	G0016	|	Indolestes gracilis	|	species	|		|	
S0016-21	|	G0016	|	Indolestes guizhouensis	|	species	|		|	
S0016-22	|	G0016	|	Indolestes indicus	|	species	|		|	
S0016-23	|	G0016	|	Indolestes inflatus	|	species	|		|	
S0016-24	|	G0016	|	Indolestes insularis	|	species	|		|	
S0016-25	|	G0016	|	Indolestes lafaeci	|	species	|		|	
S0016-26	|	G0016	|	Indolestes linsleyi	|	species	|		|	
S0016-27	|	G0016	|	Indolestes lundquisti	|	species	|		|	
S0016-28	|	G0016	|	Indolestes luxatus	|	species	|		|	
S0016-29	|	G0016	|	Indolestes lygisticercus	|	species	|		|	
S0016-30	|	G0016	|	Indolestes obiri	|	species	|		|	
S0016-31	|	G0016	|	Indolestes peregrinus	|	species	|		|	
S0016-32	|	G0016	|	Indolestes pulcherrimus	|	species	|		|	
S0016-33	|	G0016	|	Indolestes risi	|	species	|		|	
S0016-34	|	G0016	|	Indolestes sutteri	|	species	|		|	
S0016-35	|	G0016	|	Indolestes tenuissimus	|	species	|		|	
S0016-36	|	G0016	|	Indolestes vitiensis	|	species	|		|	
G0017	|	F0004	|	Lestes	|	genus	|		|	
S0017-1	|	G0017	|	Lestes alacer	|	species	|		|	
S0017-2	|	G0017	|	Lestes alfonsoi	|	species	|		|	
S0017-3	|	G0017	|	Lestes amicus	|	species	|		|	
S0017-4	|	G0017	|	Lestes angularis	|	species	|		|	
S0017-5	|	G0017	|	Lestes apollinaris	|	species	|		|	
S0017-6	|	G0017	|	Lestes auripennis	|	species	|		|	
S0017-7	|	G0017	|	Lestes auritus	|	species	|		|	
S0017-8	|	G0017	|	Lestes australis	|	species	|		|	
S0017-9	|	G0017	|	Lestes barbarus	|	species	|		|	
S0017-10	|	G0017	|	Lestes basidens	|	species	|		|	
S0017-11	|	G0017	|	Lestes bipupillatus	|	species	|		|	
S0017-12	|	G0017	|	Lestes concinnus	|	species	|		|	
S0017-13	|	G0017	|	Lestes congener	|	species	|		|	
S0017-14	|	G0017	|	Lestes curvatus	|	species	|		|	
S0017-15	|	G0017	|	Lestes debellardi	|	species	|		|	
S0017-16	|	G0017	|	Lestes dichrostigma	|	species	|		|	
S0017-17	|	G0017	|	Lestes disjunctus	|	species	|		|	
S0017-18	|	G0017	|	Lestes dissimulans	|	species	|		|	
S0017-19	|	G0017	|	Lestes dorothea	|	species	|		|	
S0017-20	|	G0017	|	Lestes dryas	|	species	|		|	
S0017-21	|	G0017	|	Lestes elatus	|	species	|		|	
S0017-22	|	G0017	|	Lestes eurinus	|	species	|		|	
S0017-23	|	G0017	|	Lestes falcifer	|	species	|		|	
S0017-24	|	G0017	|	Lestes fernandoi	|	species	|		|	
S0017-25	|	G0017	|	Lestes forcipatus	|	species	|		|	
S0017-26	|	G0017	|	Lestes forficula	|	species	|		|	
S0017-27	|	G0017	|	Lestes garoensis	|	species	|		|	
S0017-28	|	G0017	|	Lestes helix	|	species	|		|	
