uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
R001	|		|	Onychophora	|	phylum	|		|	
F001	|	R001	|	Peripatidae	|	family	|		|	
G001	|	F001	|	Eoperipatus	|	genus	|		|	
G001-1	|	G001	|	Eoperipatus butleri	|	species	|		|	
G001-2	|	G001	|	Eoperipatus horsti	|	species	|		|	
G001-3	|	G001	|	Eoperipatus weldoni	|	species	|		|	
G002	|	F001	|	Epiperipatus	|	genus	|		|	
G002-1	|	G002	|	Epiperipatus acacioi	|	species	|		|	
G002-2	|	G002	|	Epiperipatus adenocryptus	|	species	|		|	
G002-3	|	G002	|	Epiperipatus barbadensis	|	species	|		|	
G002-4	|	G002	|	Epiperipatus barbouri	|	species	|		|	
G002-5	|	G002	|	Epiperipatus betheli	|	species	|		|	
G002-6	|	G002	|	Epiperipatus biolleyi	|	species	|		|	
G002-7	|	G002	|	Epiperipatus brasiliensis	|	species	|		|	
G002-8	|	G002	|	Epiperipatus broadwayi	|	species	|		|	
G002-9	|	G002	|	Epiperipatus cratensis	|	species	|		|	
G002-10	|	G002	|	Epiperipatus diadenoproctus	|	species	|		|	
G002-11	|	G002	|	Epiperipatus edwardsii	|	species	|		|	
G002-12	|	G002	|	Epiperipatus evansi	|	species	|		|	
G002-13	|	G002	|	Epiperipatus hilkae	|	species	|		|	
G002-14	|	G002	|	Epiperipatus imthurni	|	species	|		|	
G002-15	|	G002	|	Epiperipatus isthmicola	|	species	|		|	
G002-16	|	G002	|	Epiperipatus lewisi	|	species	|		|	
G002-17	|	G002	|	Epiperipatus machadoi	|	species	|		|	
G002-18	|	G002	|	Epiperipatus paurognostus	|	species	|		|	
G002-19	|	G002	|	Epiperipatus simoni	|	species	|		|	
G002-20	|	G002	|	Epiperipatus torrealbai	|	species	|		|	
G002-21	|	G002	|	Epiperipatus trinidadensis	|	species	|		|	
G002-22	|	G002	|	Epiperipatus vagans	|	species	|		|	
G002-23	|	G002	|	Epiperipatus vespuccii	|	species	|		|	
G003	|	F001	|	Heteroperipatus	|	genus	|		|	
G003-1	|	G003	|	Heteroperipatus clarki	|	species	|		|	
G003-2	|	G003	|	Heteroperipatus engelhardi	|	species	|		|	
G004	|	F001	|	Macroperipatus	|	genus	|		|	
G004-1	|	G004	|	Macroperipatus clarki	|	species	|		|	
G004-2	|	G004	|	Macroperipatus guianensis	|	species	|		|	
G004-3	|	G004	|	Macroperipatus insularis	|	species	|		|	
G004-4	|	G004	|	Macroperipatus ohausi	|	species	|		|	
G004-5	|	G004	|	Macroperipatus perrieri	|	species	|		|	
G004-6	|	G004	|	Macroperipatus torquatus	|	species	|		|	
G004-7	|	G004	|	Macroperipatus valerioi	|	species	|		|	
G005	|	F001	|	Mesoperipatus	|	genus	|		|	
G005-1	|	G005	|	Mesoperipatus tholloni	|	species	|		|	
G006	|	F001	|	Oroperipatus	|	genus	|		|	
G006-1	|	G006	|	Oroperipatus balzani	|	species	|		|	
G006-2	|	G006	|	Oroperipatus belli	|	species	|		|	
G006-3	|	G006	|	Oroperipatus bimbergi	|	species	|		|	
G006-4	|	G006	|	Oroperipatus bluntschlii	|	species	|		|	
G006-5	|	G006	|	Oroperipatus cameranoi	|	species	|		|	
G006-6	|	G006	|	Oroperipatus corradoi	|	species	|		|	
G006-7	|	G006	|	Oroperipatus ecuadorensis	|	species	|		|	
G006-8	|	G006	|	Oroperipatus eisenii	|	species	|		|	
G006-9	|	G006	|	Oroperipatus intermedius	|	species	|		|	
G006-10	|	G006	|	Oroperipatus koepckei	|	species	|		|	
G006-11	|	G006	|	Oroperipatus lankesteri	|	species	|		|	
G006-12	|	G006	|	Oroperipatus multipodes	|	species	|		|	
G006-13	|	G006	|	Oroperipatus omeyrus	|	species	|		|	
G006-14	|	G006	|	Oroperipatus peruvianus	|	species	|		|	
G006-15	|	G006	|	Oroperipatus soratanus	|	species	|		|	
G006-16	|	G006	|	Oroperipatus tuberculatus	|	species	|		|	
G006-17	|	G006	|	Oroperipatus weyrauchi	|	species	|		|	
G007	|	F001	|	Peripatus	|	genus	|		|	
G007-1	|	G007	|	Peripatus basilensis	|	species	|		|	
G007-2	|	G007	|	Peripatus bouvieri	|	species	|		|	
G007-3	|	G007	|	Peripatus broelemanni	|	species	|		|	
G007-4	|	G007	|	Peripatus danicus	|	species	|		|	
G007-5	|	G007	|	Peripatus darlingtoni	|	species	|		|	
G007-6	|	G007	|	Peripatus dominicae	|	species	|		|	
G007-7	|	G007	|	Peripatus evelinae	|	species	|		|	
G007-8	|	G007	|	Peripatus haitiensis	|	species	|		|	
G007-9	|	G007	|	Peripatus heloisae	|	species	|		|	
G007-10	|	G007	|	Peripatus juanensis	|	species	|		|	
G007-11	|	G007	|	Peripatus juliformis	|	species	|		|	
