uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
00016d53-eae4-494c-8f79-3e9ddcd5e634	|	324b4a02-700b-4ae2-9dbd-65570f42f83c	|	Arrenuroidea	|	superfamily	|		|	
00046c32-8a20-4a7d-bb20-01bb227f3ae5	|	96e115b3-7aa9-4e3e-961a-4a00d260e97e	|	Schizoporaceae	|	family	|		|	
000da66b-b218-4f93-baae-717247e746bb	|	d4731ab0-83cd-4439-8469-b090bc74b65a	|	Sparassidae	|	family	|		|	
000fc914-5441-468f-ba3f-64d970b3f11b	|	7b8da771-99bf-423f-b957-69faf26c0539	|	Oldfieldthomasiidae	|	family	|		|	
0018de06-97aa-4f6f-b6d7-a16100f11636	|	a029e2de-f03f-4f63-a612-336fb874c2c1	|	Selenoteuthis	|	genus	|		|	
001af9d7-f668-43b8-81b4-04f39056be14	|	282b8568-3134-4d42-afdb-3420c16540af	|	Aulacomniaceae	|	family	|		|	
001eae9d-066b-4d8d-b909-2235f7b73cae	|	4c5a6daf-d502-4106-870f-8671c7e6b550	|	Powellomycetaceae	|	family	|		|	
002db506-558b-47dd-85ae-d86a7eef089a	|	158c778f-fce1-4b36-92b1-1c7215bc707c	|	Alloteuthis subulata	|	species	|		|	
0033f6d0-c600-4946-8855-bfb2ce55997f	|	c4568e98-67c6-4615-9926-6fb0bf283e46	|	Mesoraphidiidae	|	family	|		|	
00371c7f-f9b9-43d4-bede-abe263ed79c1	|	a8159455-3f04-498e-b7ab-a701a82a3327	|	Angiostomatina	|	suborder	|		|	
0037e00b-3980-4417-b63a-f5a44b364c9a	|	76f5598a-47a6-4261-ba40-9087005f7379	|	Burnetiidae	|	family	|		|	
003b0da4-4081-4d87-bb43-252caa1cb707	|	a068cc95-2299-4435-b9f9-1b43870e7ad6	|	Unikaryonidae	|	family	|		|	
00427d69-e70e-41e9-a44f-0697d3606803	|	dce88f04-2838-4158-bfb2-1cd3ff92f20a	|	Ectolechiaceae	|	family	|		|	
004aa38d-ef65-4215-8ec0-d9a13f48848b	|	e08b80d1-05c1-4a48-b06d-e522a69f49d3	|	Echinoidea	|	class	|		|	
005132fb-dec9-4c66-8088-1bb27008c5be	|	8f39509a-3f32-4bde-92fb-250a251a57d3	|	Goniaceae	|	family	|		|	
00536a51-5625-453c-8d26-c9fd2b3da19d	|	d5f31244-fd33-412b-b160-bdfc912c7c4d	|	Histioteuthis bonnellii	|	species	|		|	
005bfefe-0b11-4c18-9578-62c7742ddd4c	|	3379c13c-4d63-41ea-afec-ab098fe7a03a	|	Achatinelloidea	|	superfamily	|		|	
00659670-40e3-4eb0-94d5-8a67eb5fb13b	|	bb71825d-34a8-41d4-bdf5-e47d668cf9bf	|	Neoaves	|	clade	|		|	
006e1396-43a0-4b03-b646-9dc9cc978746	|	8e134ce4-5b21-4e47-a2f8-e5db02a81f2b	|	Illicinae	|	subfamily	|		|	
00731e5c-bdf1-4636-b507-52e6ab862339	|	101c4433-c0b8-4ee4-8054-7468d16b72c8	|	Pantylidae	|	family	|		|	
007a3e09-e284-4bf6-b824-fe642cbb5b94	|	32bcc90d-ecd7-4065-b1d1-4d11e460f4c8	|	Xiphosurida	|	suborder	|		|	
007a437a-cd52-4b23-8cca-5b64205cdb2a	|	bb84fe43-d136-4155-8e2f-2ff1888c3bf2	|	Phoberoblattidae	|	family	|		|	
